질환,성별,연령대,반배정인원수,그룹운동교육출석률,개별운동출석률,식사일기제출횟수
고혈압,남,30~34세,0.0,0.0,0.0,0.0
고혈압,남,35~39세,0.0,0.0,0.0,0.0
고혈압,남,40~44세,1.0,91.67,74.58,0.0
고혈압,남,45~49세,2.0,58.33,42.86,3.0
고혈압,남,50~54세,2.0,68.0,53.23,3.0
고혈압,남,55~59세,1.0,100.0,94.92,0.0
고혈압,남,60~64세,7.0,69.51,66.59,41.0
고혈압,남,65~69세,3.0,83.33,70.27,17.0
고혈압,녀,30~34세,1.0,46.15,59.38,0.0
고혈압,녀,35~39세,2.0,69.23,66.67,12.0
고혈압,녀,40~44세,8.0,56.25,62.66,39.0
고혈압,녀,45~49세,7.0,58.33,53.7,9.0
고혈압,녀,50~54세,20.0,71.78,66.01,131.0
고혈압,녀,55~59세,23.0,80.0,73.1,138.0
고혈압,녀,60~64세,29.0,81.27,75.8,187.0
고혈압,녀,65~69세,11.0,85.71,81.05,80.0
당뇨,남,30~34세,0.0,0.0,0.0,0.0
당뇨,남,35~39세,0.0,0.0,0.0,0.0
당뇨,남,40~44세,0.0,0.0,0.0,0.0
당뇨,남,45~49세,1.0,83.33,80.0,6.0
당뇨,남,50~54세,2.0,91.3,88.33,28.0
당뇨,남,55~59세,2.0,86.96,64.17,20.0
당뇨,남,60~64세,4.0,86.96,76.33,48.0
당뇨,남,65~69세,2.0,100.0,92.0,14.0
당뇨,녀,30~34세,0.0,0.0,0.0,0.0
당뇨,녀,35~39세,0.0,0.0,0.0,0.0
당뇨,녀,40~44세,1.0,83.33,65.0,6.0
당뇨,녀,45~49세,3.0,85.71,66.32,25.0
당뇨,녀,50~54세,6.0,97.14,75.07,76.0
당뇨,녀,55~59세,5.0,81.36,73.23,46.0
당뇨,녀,60~64세,6.0,86.77,76.71,70.0
당뇨,녀,65~69세,12.0,84.29,77.97,110.0
비만,남,30~34세,0.0,0.0,0.0,0.0
비만,남,35~39세,1.0,8.33,11.67,0.0
비만,남,40~44세,1.0,88.89,46.43,0.0
비만,남,45~49세,1.0,80.0,30.0,0.0
비만,남,50~54세,0.0,0.0,0.0,0.0
비만,남,55~59세,4.0,77.08,46.4,0.0
비만,남,60~64세,0.0,0.0,0.0,0.0
비만,남,65~69세,1.0,72.73,76.67,14.0
비만,녀,30~34세,20.0,69.3,53.2,31.0
비만,녀,35~39세,55.0,60.66,52.23,103.0
비만,녀,40~44세,61.0,64.11,50.88,75.0
비만,녀,45~49세,54.0,69.28,45.44,18.0
비만,녀,50~54세,30.0,68.37,46.34,51.0
비만,녀,55~59세,55.0,71.68,49.67,72.0
비만,녀,60~64세,24.0,75.66,61.69,84.0
비만,녀,65~69세,5.0,88.89,72.33,56.0
이상지질,남,30~34세,2.0,33.33,51.22,0.0
이상지질,남,35~39세,0.0,0.0,0.0,0.0
이상지질,남,40~44세,1.0,91.67,78.33,14.0
이상지질,남,45~49세,1.0,60.0,72.41,6.0
이상지질,남,50~54세,0.0,0.0,0.0,0.0
이상지질,남,55~59세,4.0,77.5,62.92,0.0
이상지질,남,60~64세,4.0,86.67,79.18,48.0
이상지질,남,65~69세,1.0,91.67,81.67,14.0
이상지질,녀,30~34세,0.0,0.0,0.0,0.0
이상지질,녀,35~39세,4.0,73.17,68.05,9.0
이상지질,녀,40~44세,0.0,0.0,0.0,0.0
이상지질,녀,45~49세,4.0,65.85,62.29,14.0
이상지질,녀,50~54세,11.0,72.5,68.65,101.0
이상지질,녀,55~59세,21.0,84.14,78.73,170.0
이상지질,녀,60~64세,26.0,89.68,81.31,215.0
이상지질,녀,65~69세,10.0,91.07,78.11,96.0
