antecedents_str,consequents_str,support,confidence,lift
니코틴보조제,행동강화물품,1.0,1.0,1.0
행동강화물품,니코틴보조제,1.0,1.0,1.0
행동강화물품,비품/소모품,0.8235294117647058,0.8235294117647058,1.0
비품/소모품,행동강화물품,0.8235294117647058,1.0,1.0
니코틴보조제,비품/소모품,0.8235294117647058,0.8235294117647058,1.0
비품/소모품,니코틴보조제,0.8235294117647058,1.0,1.0
"니코틴보조제, 비품/소모품",행동강화물품,0.8235294117647058,1.0,1.0
"니코틴보조제, 행동강화물품",비품/소모품,0.8235294117647058,0.8235294117647058,1.0
"비품/소모품, 행동강화물품",니코틴보조제,0.8235294117647058,1.0,1.0
니코틴보조제,"비품/소모품, 행동강화물품",0.8235294117647058,0.8235294117647058,1.0
비품/소모품,"니코틴보조제, 행동강화물품",0.8235294117647058,1.0,1.0
행동강화물품,"니코틴보조제, 비품/소모품",0.8235294117647058,0.8235294117647058,1.0
