서비스구분,sequence,count,total,ratio
단기금연캠프,N→N→N→N,1766,6822,0.2589
단기금연캠프,Y→Y→Y→Y,1600,6822,0.2345
단기금연캠프,Y→Y→Y→N,1426,6822,0.209
단기금연캠프,Y→Y→N→N,1120,6822,0.1642
단기금연캠프,Y→N→N→N,905,6822,0.1327
단기금연캠프,N→N→N→Y,2,6822,0.0003
단기금연캠프,Y→N→N→Y,2,6822,0.0003
단기금연캠프,Y→Y→N→Y,1,6822,0.0001
보건소 금연클리닉,N→N→N→N,71044,218589,0.325
보건소 금연클리닉,Y→Y→Y→Y,45944,218589,0.2102
보건소 금연클리닉,Y→Y→Y→N,42656,218589,0.1951
보건소 금연클리닉,Y→Y→N→N,39882,218589,0.1825
보건소 금연클리닉,Y→N→N→N,19025,218589,0.087
보건소 금연클리닉,N→N→N→Y,19,218589,0.0001
보건소 금연클리닉,Y→Y→N→Y,14,218589,0.0001
보건소 금연클리닉,N→N→Y→N,2,218589,0.0
보건소 금연클리닉,Y→N→N→Y,2,218589,0.0
보건소 금연클리닉,Y→N→Y→N,1,218589,0.0
찾아가는 금연서비스,N→N→N→N,6921,13976,0.4952
찾아가는 금연서비스,Y→Y→Y→Y,2523,13976,0.1805
찾아가는 금연서비스,Y→N→N→N,1563,13976,0.1118
찾아가는 금연서비스,Y→Y→Y→N,1519,13976,0.1087
찾아가는 금연서비스,Y→Y→N→N,1446,13976,0.1035
찾아가는 금연서비스,Y→N→N→Y,3,13976,0.0002
찾아가는 금연서비스,N→Y→N→N,1,13976,0.0001
