지역,연계기관유형,count
강원특별자치도,교육환경(대학생),3
강원특별자치도,교육환경(학교밖청소년),6
강원특별자치도,교육환경(학교안청소년),18
강원특별자치도,근로환경(300인미만),15
강원특별자치도,근로환경(300인이상),7
강원특별자치도,입원환자(소속기관),5
강원특별자치도,입원환자(협력기관),4
강원특별자치도,주거환경(장애인),3
강원특별자치도,주거환경(저소득층),6
경기도,교육환경(대학생),2
경기도,교육환경(학교밖청소년),7
경기도,교육환경(학교안청소년),13
경기도,근로환경(300인미만),31
경기도,근로환경(300인이상),12
경기도,기타,1
경기도,주거환경(기타),10
경기도,주거환경(장애인),3
경기도,주거환경(저소득층),18
경기도,지역자율,6
경상남도,교육환경(대학생),5
경상남도,교육환경(학교밖청소년),8
경상남도,교육환경(학교안청소년),29
경상남도,근로환경(300인미만),21
경상남도,근로환경(300인이상),16
경상남도,기타,1
경상남도,주거환경(기타),7
경상남도,주거환경(장애인),7
경상남도,주거환경(저소득층),7
경상북도,교육환경(대학생),2
경상북도,교육환경(학교밖청소년),6
경상북도,교육환경(학교안청소년),11
경상북도,근로환경(300인미만),10
경상북도,근로환경(300인이상),10
경상북도,기타,10
경상북도,여성,1
경상북도,입원환자(소속기관),3
경상북도,입원환자(협력기관),9
경상북도,주거환경(장애인),5
경상북도,주거환경(저소득층),3
경상북도,지역자율,1
광주광역시,교육환경(대학생),1
광주광역시,교육환경(학교밖청소년),7
광주광역시,교육환경(학교안청소년),19
광주광역시,근로환경(300인미만),42
광주광역시,근로환경(300인이상),2
광주광역시,주거환경(장애인),1
광주광역시,주거환경(저소득층),7
광주광역시,지역자율,6
대구광역시,교육환경(대학생),2
대구광역시,교육환경(학교밖청소년),2
대구광역시,교육환경(학교안청소년),27
대구광역시,근로환경(300인미만),38
대구광역시,근로환경(300인이상),14
대구광역시,여성,2
대구광역시,입원환자(소속기관),1
대구광역시,입원환자(협력기관),4
대구광역시,주거환경(기타),1
대구광역시,주거환경(장애인),3
대구광역시,주거환경(저소득층),1
대구광역시,지역자율,14
대전광역시,교육환경(대학생),1
대전광역시,교육환경(학교안청소년),3
대전광역시,근로환경(300인미만),12
대전광역시,근로환경(300인이상),5
대전광역시,주거환경(기타),2
대전광역시,주거환경(저소득층),4
대전광역시,지역자율,5
부산광역시,교육환경(학교안청소년),5
부산광역시,근로환경(300인미만),6
부산광역시,근로환경(300인이상),4
부산광역시,입원환자(협력기관),1
부산광역시,주거환경(저소득층),4
부산광역시,지역자율,7
서울특별시,교육환경(대학생),3
서울특별시,교육환경(학교밖청소년),5
서울특별시,교육환경(학교안청소년),17
서울특별시,근로환경(300인미만),50
서울특별시,근로환경(300인이상),41
서울특별시,입원환자(협력기관),1
서울특별시,주거환경(기타),13
서울특별시,주거환경(장애인),9
서울특별시,주거환경(저소득층),16
서울특별시,지역자율,6
울산광역시,교육환경(학교안청소년),7
울산광역시,근로환경(300인미만),21
울산광역시,근로환경(300인이상),12
울산광역시,기타,2
울산광역시,주거환경(장애인),3
울산광역시,주거환경(저소득층),1
울산광역시,지역자율,19
인천광역시,교육환경(대학생),3
인천광역시,교육환경(학교밖청소년),1
인천광역시,교육환경(학교안청소년),7
인천광역시,근로환경(300인미만),10
인천광역시,근로환경(300인이상),7
인천광역시,기타,6
인천광역시,주거환경(장애인),3
인천광역시,주거환경(저소득층),4
인천광역시,지역자율,4
전라남도,교육환경(대학생),1
전라남도,교육환경(학교밖청소년),7
전라남도,교육환경(학교안청소년),18
전라남도,근로환경(300인미만),13
전라남도,근로환경(300인이상),18
전라남도,여성,2
전라남도,주거환경(기타),1
전라남도,주거환경(장애인),1
전라남도,주거환경(저소득층),11
전북특별자치도,교육환경(학교밖청소년),2
전북특별자치도,교육환경(학교안청소년),10
전북특별자치도,근로환경(300인미만),5
전북특별자치도,근로환경(300인이상),8
전북특별자치도,주거환경(저소득층),2
전북특별자치도,지역자율,4
제주특별자치도,교육환경(대학생),5
제주특별자치도,교육환경(학교밖청소년),9
제주특별자치도,교육환경(학교안청소년),26
제주특별자치도,근로환경(300인미만),7
제주특별자치도,근로환경(300인이상),3
제주특별자치도,기타,21
제주특별자치도,입원환자(소속기관),4
제주특별자치도,입원환자(협력기관),3
제주특별자치도,주거환경(저소득층),3
제주특별자치도,지역자율,1
충청남도,교육환경(대학생),1
충청남도,교육환경(학교밖청소년),1
충청남도,교육환경(학교안청소년),16
충청남도,근로환경(300인미만),12
충청남도,근로환경(300인이상),7
충청남도,주거환경(장애인),2
충청남도,주거환경(저소득층),1
충청남도,지역자율,3
충청북도,교육환경(대학생),1
충청북도,교육환경(학교밖청소년),4
충청북도,교육환경(학교안청소년),16
충청북도,근로환경(300인미만),19
충청북도,근로환경(300인이상),12
충청북도,기타,17
충청북도,입원환자(소속기관),8
충청북도,입원환자(협력기관),3
충청북도,주거환경(장애인),4
충청북도,주거환경(저소득층),6
