yearmonth,연계기관유형,count
2024-01,교육환경(학교밖청소년),11
2024-01,근로환경(300인미만),10
2024-01,교육환경(학교안청소년),6
2024-01,기타,6
2024-01,교육환경(대학생),4
2024-01,입원환자(협력기관),4
2024-01,입원환자(소속기관),2
2024-01,주거환경(저소득층),2
2024-01,지역자율,2
2024-01,근로환경(300인이상),1
2024-01,주거환경(장애인),1
2024-02,근로환경(300인미만),30
2024-02,교육환경(학교밖청소년),10
2024-02,주거환경(저소득층),9
2024-02,근로환경(300인이상),4
2024-02,주거환경(장애인),4
2024-02,지역자율,4
2024-02,교육환경(대학생),2
2024-02,입원환자(소속기관),2
2024-02,기타,1
2024-02,입원환자(협력기관),1
2024-02,주거환경(기타),1
2024-03,근로환경(300인미만),70
2024-03,근로환경(300인이상),46
2024-03,교육환경(학교안청소년),40
2024-03,주거환경(저소득층),17
2024-03,기타,13
2024-03,지역자율,8
2024-03,입원환자(협력기관),6
2024-03,주거환경(장애인),6
2024-03,교육환경(학교밖청소년),5
2024-03,교육환경(대학생),4
2024-03,여성,4
2024-03,주거환경(기타),3
2024-03,입원환자(소속기관),2
2024-04,근로환경(300인미만),69
2024-04,교육환경(학교안청소년),36
2024-04,근로환경(300인이상),28
2024-04,지역자율,13
2024-04,주거환경(저소득층),10
2024-04,주거환경(장애인),9
2024-04,교육환경(학교밖청소년),8
2024-04,교육환경(대학생),6
2024-04,기타,5
2024-04,입원환자(협력기관),4
2024-04,주거환경(기타),3
2024-05,교육환경(학교안청소년),37
2024-05,근로환경(300인미만),37
2024-05,근로환경(300인이상),20
2024-05,주거환경(저소득층),18
2024-05,교육환경(학교밖청소년),9
2024-05,주거환경(장애인),9
2024-05,교육환경(대학생),7
2024-05,기타,7
2024-05,지역자율,6
2024-05,주거환경(기타),4
2024-05,입원환자(소속기관),1
2024-05,입원환자(협력기관),1
2024-06,교육환경(학교안청소년),32
2024-06,근로환경(300인미만),21
2024-06,근로환경(300인이상),15
2024-06,지역자율,15
2024-06,주거환경(저소득층),9
2024-06,교육환경(학교밖청소년),4
2024-06,기타,3
2024-06,교육환경(대학생),2
2024-06,주거환경(장애인),2
2024-06,입원환자(협력기관),1
2024-07,교육환경(학교안청소년),25
2024-07,근로환경(300인미만),18
2024-07,근로환경(300인이상),16
2024-07,지역자율,8
2024-07,기타,6
2024-07,주거환경(기타),5
2024-07,주거환경(저소득층),5
2024-07,교육환경(학교밖청소년),4
2024-07,주거환경(장애인),1
2024-08,교육환경(학교안청소년),12
2024-08,근로환경(300인미만),12
2024-08,근로환경(300인이상),7
2024-08,기타,7
2024-08,교육환경(학교밖청소년),5
2024-08,주거환경(기타),4
2024-08,주거환경(저소득층),3
2024-08,지역자율,3
2024-08,주거환경(장애인),1
2024-09,교육환경(학교안청소년),17
2024-09,근로환경(300인미만),13
2024-09,근로환경(300인이상),8
2024-09,주거환경(기타),7
2024-09,주거환경(장애인),6
2024-09,주거환경(저소득층),6
2024-09,교육환경(학교밖청소년),5
2024-09,지역자율,5
2024-09,기타,2
2024-09,교육환경(대학생),1
2024-09,여성,1
2024-10,근로환경(300인이상),20
2024-10,근로환경(300인미만),19
2024-10,교육환경(학교안청소년),18
2024-10,주거환경(저소득층),8
2024-10,지역자율,8
2024-10,주거환경(기타),5
2024-10,기타,4
2024-10,주거환경(장애인),4
2024-10,교육환경(대학생),3
2024-10,교육환경(학교밖청소년),3
2024-10,입원환자(소속기관),2
2024-10,입원환자(협력기관),2
2024-11,교육환경(학교안청소년),13
2024-11,근로환경(300인이상),11
2024-11,입원환자(소속기관),10
2024-11,근로환경(300인미만),6
2024-11,주거환경(저소득층),6
2024-11,입원환자(협력기관),4
2024-11,지역자율,3
2024-11,주거환경(기타),2
2024-11,기타,1
2024-11,주거환경(장애인),1
2024-12,근로환경(300인미만),7
2024-12,교육환경(학교안청소년),6
2024-12,기타,3
2024-12,근로환경(300인이상),2
2024-12,입원환자(소속기관),2
2024-12,입원환자(협력기관),2
2024-12,교육환경(대학생),1
2024-12,교육환경(학교밖청소년),1
2024-12,주거환경(저소득층),1
2024-12,지역자율,1
