from_type,to_type,count
근로환경(300인미만),근로환경(300인미만),115
교육환경(학교안청소년),교육환경(학교안청소년),71
근로환경(300인이상),교육환경(학교안청소년),47
근로환경(300인미만),교육환경(학교안청소년),46
교육환경(학교안청소년),근로환경(300인미만),45
근로환경(300인미만),근로환경(300인이상),44
근로환경(300인이상),근로환경(300인이상),41
교육환경(학교안청소년),근로환경(300인이상),39
근로환경(300인이상),근로환경(300인미만),31
주거환경(저소득층),근로환경(300인미만),25
교육환경(학교밖청소년),근로환경(300인미만),24
지역자율,근로환경(300인미만),23
근로환경(300인미만),교육환경(학교밖청소년),21
교육환경(학교안청소년),지역자율,20
근로환경(300인미만),주거환경(저소득층),19
근로환경(300인미만),지역자율,16
지역자율,교육환경(학교안청소년),16
주거환경(저소득층),근로환경(300인이상),15
주거환경(저소득층),교육환경(학교안청소년),14
교육환경(학교안청소년),주거환경(저소득층),14
근로환경(300인미만),기타,14
주거환경(저소득층),주거환경(저소득층),14
기타,교육환경(학교안청소년),13
근로환경(300인이상),주거환경(저소득층),12
주거환경(장애인),근로환경(300인미만),12
근로환경(300인미만),주거환경(장애인),11
교육환경(학교안청소년),주거환경(장애인),11
지역자율,지역자율,10
근로환경(300인이상),지역자율,10
기타,근로환경(300인미만),10
근로환경(300인미만),교육환경(대학생),10
교육환경(학교안청소년),교육환경(학교밖청소년),9
지역자율,근로환경(300인이상),9
기타,기타,9
교육환경(학교안청소년),기타,9
주거환경(장애인),교육환경(학교안청소년),9
입원환자(협력기관),근로환경(300인미만),8
교육환경(학교밖청소년),주거환경(저소득층),8
교육환경(학교안청소년),주거환경(기타),8
교육환경(학교밖청소년),교육환경(학교안청소년),8
교육환경(대학생),근로환경(300인미만),8
주거환경(기타),주거환경(저소득층),8
근로환경(300인이상),주거환경(장애인),7
근로환경(300인이상),주거환경(기타),7
교육환경(학교밖청소년),교육환경(학교밖청소년),7
근로환경(300인미만),주거환경(기타),7
주거환경(저소득층),주거환경(장애인),7
교육환경(학교안청소년),입원환자(협력기관),6
기타,근로환경(300인이상),6
교육환경(학교밖청소년),근로환경(300인이상),6
주거환경(저소득층),지역자율,6
근로환경(300인이상),기타,6
근로환경(300인이상),교육환경(학교밖청소년),6
교육환경(학교안청소년),입원환자(소속기관),6
주거환경(장애인),근로환경(300인이상),6
기타,주거환경(저소득층),5
교육환경(대학생),교육환경(학교안청소년),5
기타,교육환경(학교밖청소년),5
지역자율,기타,5
주거환경(기타),근로환경(300인미만),5
지역자율,주거환경(저소득층),5
근로환경(300인이상),입원환자(협력기관),5
입원환자(협력기관),근로환경(300인이상),4
주거환경(기타),지역자율,4
교육환경(학교밖청소년),기타,4
근로환경(300인미만),입원환자(협력기관),4
주거환경(저소득층),교육환경(학교밖청소년),4
입원환자(소속기관),입원환자(소속기관),4
입원환자(협력기관),교육환경(학교안청소년),4
주거환경(기타),교육환경(학교안청소년),4
입원환자(소속기관),교육환경(학교안청소년),4
근로환경(300인이상),입원환자(소속기관),3
근로환경(300인이상),교육환경(대학생),3
주거환경(장애인),주거환경(장애인),3
근로환경(300인미만),입원환자(소속기관),3
주거환경(장애인),주거환경(저소득층),3
주거환경(기타),교육환경(학교밖청소년),3
여성,근로환경(300인미만),3
교육환경(대학생),교육환경(학교밖청소년),3
교육환경(학교밖청소년),교육환경(대학생),3
입원환자(협력기관),입원환자(소속기관),3
교육환경(대학생),교육환경(대학생),3
입원환자(소속기관),근로환경(300인미만),3
기타,지역자율,3
교육환경(학교안청소년),교육환경(대학생),3
주거환경(기타),기타,3
주거환경(장애인),지역자율,3
주거환경(장애인),교육환경(학교밖청소년),3
주거환경(저소득층),기타,3
교육환경(대학생),근로환경(300인이상),3
교육환경(학교밖청소년),주거환경(기타),2
주거환경(장애인),기타,2
기타,입원환자(소속기관),2
교육환경(대학생),주거환경(저소득층),2
지역자율,교육환경(대학생),2
주거환경(기타),근로환경(300인이상),2
주거환경(기타),입원환자(협력기관),2
지역자율,교육환경(학교밖청소년),2
입원환자(소속기관),근로환경(300인이상),2
주거환경(저소득층),교육환경(대학생),2
주거환경(저소득층),주거환경(기타),2
입원환자(소속기관),교육환경(학교밖청소년),2
입원환자(소속기관),주거환경(저소득층),2
지역자율,주거환경(기타),2
근로환경(300인미만),여성,2
교육환경(대학생),기타,2
주거환경(기타),주거환경(기타),2
주거환경(저소득층),입원환자(협력기관),2
입원환자(협력기관),교육환경(대학생),1
교육환경(학교밖청소년),여성,1
여성,주거환경(저소득층),1
기타,여성,1
교육환경(학교밖청소년),지역자율,1
교육환경(대학생),지역자율,1
지역자율,입원환자(협력기관),1
입원환자(협력기관),지역자율,1
입원환자(협력기관),입원환자(협력기관),1
입원환자(협력기관),기타,1
지역자율,주거환경(장애인),1
입원환자(소속기관),지역자율,1
입원환자(협력기관),주거환경(기타),1
입원환자(협력기관),주거환경(저소득층),1
주거환경(장애인),교육환경(대학생),1
기타,주거환경(기타),1
기타,주거환경(장애인),1
입원환자(소속기관),교육환경(대학생),1
교육환경(학교안청소년),여성,1
주거환경(장애인),주거환경(기타),1
주거환경(기타),주거환경(장애인),1
여성,근로환경(300인이상),1
입원환자(소속기관),주거환경(장애인),1
교육환경(대학생),주거환경(기타),1
교육환경(대학생),주거환경(장애인),1
입원환자(소속기관),입원환자(협력기관),1
주거환경(장애인),입원환자(협력기관),1
기타,교육환경(대학생),1
교육환경(대학생),입원환자(협력기관),1
기타,입원환자(협력기관),1
