from_type,교육환경(대학생),교육환경(학교밖청소년),교육환경(학교안청소년),근로환경(300인미만),근로환경(300인이상),기타,여성,입원환자(소속기관),입원환자(협력기관),주거환경(기타),주거환경(장애인),주거환경(저소득층),지역자율
교육환경(대학생),3.0,3.0,5.0,8.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0
교육환경(학교밖청소년),3.0,7.0,8.0,24.0,6.0,4.0,1.0,0.0,0.0,2.0,0.0,8.0,1.0
교육환경(학교안청소년),3.0,9.0,71.0,45.0,39.0,9.0,1.0,6.0,6.0,8.0,11.0,14.0,20.0
근로환경(300인미만),10.0,21.0,46.0,115.0,44.0,14.0,2.0,3.0,4.0,7.0,11.0,19.0,16.0
근로환경(300인이상),3.0,6.0,47.0,31.0,41.0,6.0,0.0,3.0,5.0,7.0,7.0,12.0,10.0
기타,1.0,5.0,13.0,10.0,6.0,9.0,1.0,2.0,1.0,1.0,1.0,5.0,3.0
여성,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
입원환자(소속기관),1.0,2.0,4.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,1.0,2.0,1.0
입원환자(협력기관),1.0,0.0,4.0,8.0,4.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0
주거환경(기타),0.0,3.0,4.0,5.0,2.0,3.0,0.0,0.0,2.0,2.0,1.0,8.0,4.0
주거환경(장애인),1.0,3.0,9.0,12.0,6.0,2.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0
주거환경(저소득층),2.0,4.0,14.0,25.0,15.0,3.0,0.0,0.0,2.0,2.0,7.0,14.0,6.0
지역자율,2.0,2.0,16.0,23.0,9.0,5.0,0.0,0.0,1.0,2.0,1.0,5.0,10.0
