from_type,교육환경(대학생),교육환경(학교밖청소년),교육환경(학교안청소년),근로환경(300인미만),근로환경(300인이상),기타,여성,입원환자(소속기관),입원환자(협력기관),주거환경(기타),주거환경(장애인),주거환경(저소득층),지역자율
교육환경(대학생),0.1,0.1,0.1667,0.2667,0.1,0.0667,0.0,0.0,0.0333,0.0333,0.0333,0.0667,0.0333
교육환경(학교밖청소년),0.0469,0.1094,0.125,0.375,0.0938,0.0625,0.0156,0.0,0.0,0.0312,0.0,0.125,0.0156
교육환경(학교안청소년),0.0124,0.0372,0.2934,0.186,0.1612,0.0372,0.0041,0.0248,0.0248,0.0331,0.0455,0.0579,0.0826
근로환경(300인미만),0.0321,0.0673,0.1474,0.3686,0.141,0.0449,0.0064,0.0096,0.0128,0.0224,0.0353,0.0609,0.0513
근로환경(300인이상),0.0169,0.0337,0.264,0.1742,0.2303,0.0337,0.0,0.0169,0.0281,0.0393,0.0393,0.0674,0.0562
기타,0.0172,0.0862,0.2241,0.1724,0.1034,0.1552,0.0172,0.0345,0.0172,0.0172,0.0172,0.0862,0.0517
여성,0.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
입원환자(소속기관),0.0476,0.0952,0.1905,0.1429,0.0952,0.0,0.0,0.1905,0.0476,0.0,0.0476,0.0952,0.0476
입원환자(협력기관),0.04,0.0,0.16,0.32,0.16,0.04,0.0,0.12,0.04,0.04,0.0,0.04,0.04
주거환경(기타),0.0,0.0882,0.1176,0.1471,0.0588,0.0882,0.0,0.0,0.0588,0.0588,0.0294,0.2353,0.1176
주거환경(장애인),0.0227,0.0682,0.2045,0.2727,0.1364,0.0455,0.0,0.0,0.0227,0.0227,0.0682,0.0682,0.0682
주거환경(저소득층),0.0213,0.0426,0.1489,0.266,0.1596,0.0319,0.0,0.0,0.0213,0.0213,0.0745,0.1489,0.0638
지역자율,0.0263,0.0263,0.2105,0.3026,0.1184,0.0658,0.0,0.0,0.0132,0.0263,0.0132,0.0658,0.1316
