출생코호트,상담강도_구간,인원수,평균성공단계,완전달성수,완전달성률(%)
20대이하(2000년대+),집중(16회+),1062,2.818267419962335,421,39.64
20대이하(2000년대+),고강도(11-15회),3934,2.5917641077783427,1386,35.23
20대이하(2000년대+),중강도(6-10회),11916,1.770392749244713,1742,14.62
20대이하(2000년대+),저강도(1-5회),7983,0.5551797569835901,90,1.13
30대(1990년대),집중(16회+),2079,3.000962000962001,1060,50.99
30대(1990년대),고강도(11-15회),7169,2.716278420979216,2907,40.55
30대(1990년대),중강도(6-10회),18272,1.8371278458844134,2860,15.65
30대(1990년대),저강도(1-5회),8916,0.6310004486316734,69,0.77
40대(1980년대),집중(16회+),2113,3.0350212967345005,1095,51.82
40대(1980년대),고강도(11-15회),7456,2.807135193133047,3323,44.57
40대(1980년대),중강도(6-10회),17891,1.9167737968811134,3104,17.35
40대(1980년대),저강도(1-5회),9121,0.6322771625918211,75,0.82
50대(1970년대),집중(16회+),2715,3.112707182320442,1503,55.36
50대(1970년대),고강도(11-15회),9306,2.8568665377176017,4318,46.4
50대(1970년대),중강도(6-10회),22725,1.9087788778877888,3899,17.16
50대(1970년대),저강도(1-5회),11048,0.6589427950760318,84,0.76
기타,집중(16회+),782,3.3567774936061383,515,65.86
기타,고강도(11-15회),2201,3.0745115856428895,1136,51.61
기타,중강도(6-10회),5188,2.1771395528141864,1099,21.18
기타,저강도(1-5회),3014,0.6678832116788321,17,0.56
시니어(1950-1969),집중(16회+),5766,3.1925078043704476,3308,57.37
시니어(1950-1969),고강도(11-15회),17877,2.963696369636964,8898,49.77
시니어(1950-1969),중강도(6-10회),39829,1.9767003941851415,7027,17.64
시니어(1950-1969),저강도(1-5회),20470,0.684171958964338,131,0.64
