cate1_a,col_nm_a,freq,mean_link,score
공공행정,연번,8613,0.5329223267154302,4590.06
교육,연번,6402,0.536690096844736,3435.89
공공행정,순번,3993,0.5327548209366391,2127.29
보건,연번,3057,0.541164540399084,1654.34
교육,순번,1867,0.5232833422603107,976.97
교육,번호,1573,0.5285187539732994,831.3599999999999
보건,순번,1529,0.540431654676259,826.3199999999999
공공행정,번호,1145,0.5333624454148472,610.7
공공행정,구분,687,0.5391848617176128,370.42
공공행정,고유번호,532,0.5455451127819549,290.23
교육,일련번호,433,0.5563048498845266,240.88
교육,순서,312,0.5765705128205129,179.89000000000001
공공행정,식별번호,343,0.5157725947521866,176.91
공공행정,그룹번호,286,0.5039510489510489,144.13
공공행정,정렬,260,0.5305,137.93
공공행정,코드그룹번호,252,0.49892857142857144,125.73
공공행정,대관불가순번,224,0.5124553571428572,114.79
공공행정,연령대코드,217,0.5239170506912443,113.69000000000001
공공행정,기준ID,201,0.5528358208955224,111.12
공공행정,처리순번,194,0.5130412371134021,99.53
교육,자료테마넘버,183,0.5301092896174864,97.01
공공행정,내부감사결과키,185,0.5201081081081081,96.22000000000001
공공행정,부산물,180,0.5317777777777778,95.72
교육,코드값,183,0.520327868852459,95.21999999999998
공공행정,2023년,213,0.42295774647887324,90.09
공공행정,분기,184,0.4876086956521739,89.72
공공행정,관리번호,172,0.5193023255813953,89.32
공공행정,식품냉동냉장업,205,0.4352682926829268,89.23
공공행정,사전정보공표키,160,0.5158750000000001,82.54000000000002
공공행정,부가가치세 과세표준증명,179,0.4583798882681564,82.05
교육,첨부파일고유번호,156,0.5063461538461538,78.99
교육,회차,162,0.484320987654321,78.46000000000001
교육,지역코드,149,0.5226174496644296,77.87
교육,채용희망직종순서,137,0.5482481751824817,75.11
교육,활동인원,145,0.4857241379310345,70.43
공공행정,게시판번호,126,0.5434126984126985,68.47
공공행정,사업실명제키,124,0.542741935483871,67.3
공공행정,지정번호,125,0.53184,66.48
공공행정,연도,119,0.5436134453781513,64.69
교육, 연번,118,0.5460169491525424,64.43
공공행정,공유재산순번,117,0.5467521367521367,63.97
보건,번호,114,0.5545614035087719,63.22
보건,2020년 10월,102,0.606764705882353,61.89000000000001
공공행정,반장 공석,145,0.41400000000000003,60.03000000000001
교육,2016년 인원,146,0.41027397260273973,59.9
공공행정,질문유형코드,122,0.4905737704918033,59.85
교육,조회수,153,0.390718954248366,59.78
공공행정,광주,148,0.3977027027027027,58.86
교육,2018년 인원,144,0.40555555555555556,58.4
공공행정,연계일련번호,137,0.4200729927007299,57.55
공공행정,고유 번호,128,0.44710937500000003,57.230000000000004
공공행정,정렬 순서,122,0.4674590163934426,57.03
교육,분야코드,109,0.5056880733944954,55.12
교육,지역,142,0.3845070422535211,54.6
공공행정,건강보험 자격확인서,143,0.37888111888111886,54.18
공공행정,출산휴가 사용자수,106,0.5076415094339622,53.809999999999995
보건,순서,98,0.5404081632653062,52.96
보건,NUM,89,0.5898876404494382,52.5
공공행정,지역가입자 건강장기요양보험료 납부확인서,120,0.43475,52.17
공공행정,질문순번,107,0.4817757009345795,51.550000000000004
공공행정,용기포장제조업,125,0.37728,47.160000000000004
공공행정,사업자등록증명,124,0.37975806451612903,47.09
공공행정,배우자 출산휴가 사용자수,109,0.4281651376146789,46.67
교육,직원수 (명)_남,103,0.45126213592233005,46.48
교육,IDX,95,0.4889473684210527,46.45
보건,일련번호,81,0.5618518518518518,45.51
공공행정,신규채용인원,107,0.42149532710280374,45.1
보건,2020년 1월,61,0.7304918032786886,44.56
보건,2020년 2월,60,0.7260000000000001,43.56
공공행정,건축물대장,123,0.3516260162601626,43.25
보건,2020년 3월,59,0.7213559322033899,42.56
교육,학습 단원 고유번호,87,0.4841379310344827,42.12
교육,게시물일련번호,77,0.5468831168831169,42.11
공공행정,공표일련번호,86,0.4874418604651163,41.92
보건,2020년 4월,58,0.7165517241379311,41.56
공공행정,지역가입자 건강장기요양보험료 납부확인서(연말정산용),70,0.5801428571428572,40.61
보건,2020년 5월,57,0.7115789473684211,40.56
보건,2020년 6월,56,0.7064285714285715,39.56
보건,2020년 7월,55,0.7010909090909091,38.56
보건,2020년 11월,70,0.5395714285714286,37.77
교육,순,72,0.5243055555555556,37.75
공공행정,농업경영체 증명서,99,0.3793939393939394,37.56
보건,2020년 8월,54,0.6955555555555556,37.56
교육,여,112,0.3280357142857143,36.74
교육,정렬번호,56,0.6446428571428572,36.1
공공행정,2022년,98,0.3631632653061225,35.59
보건,2021년 2월,52,0.6838461538461539,35.56
공공행정,의안고유번호,66,0.5313636363636364,35.07
공공행정,부산,92,0.3756521739130435,34.56
보건,2021년 3월,51,0.6776470588235295,34.56
교육,설문코드,76,0.44815789473684214,34.06
교육,응급처치,58,0.5805172413793104,33.67
보건,2021년 4월,50,0.6712,33.56
공공행정,인천,91,0.36714285714285716,33.410000000000004
보건,2021년 6월,49,0.6644897959183674,32.56
공공행정,2024년,89,0.36280898876404494,32.29
교육,그룹번호,67,0.4817910447761194,32.28
교육,읽은수,81,0.39604938271604934,32.08
공공행정,부서아이디,80,0.399625,31.97
교육,다운로드수,81,0.38135802469135804,30.89
공공행정,농지대장,85,0.35811764705882354,30.44
교육,배정액,68,0.43558823529411766,29.62
교육,연도,55,0.5370909090909091,29.54
공공행정,운영대수,79,0.3708860759493671,29.300000000000004
교육,구분,54,0.5405555555555556,29.19
공공행정,수급자증명서,52,0.5551923076923078,28.870000000000005
공공행정,시차출퇴근형,77,0.3711688311688312,28.580000000000002
공공행정,지방세 세목별 과세증명서,77,0.36597402597402595,28.18
교육,활동코드,72,0.3836111111111111,27.62
공공행정,소득확인증명서(개인종합자산관리계좌 가입용),51,0.5394117647058824,27.51
공공행정,첨가물제조업,72,0.3768055555555556,27.130000000000003
공공행정,기본증명서,78,0.3437179487179487,26.81
교육,아이디,64,0.41421875,26.51
공공행정,울산,72,0.3676388888888889,26.470000000000002
공공행정,은행코드,72,0.3661111111111111,26.36
교육,2020년 인원,74,0.3525675675675676,26.09
공공행정,등록형태(인식표),78,0.3312820512820513,25.84
교육,신청학교 수,67,0.38522388059701496,25.810000000000002
공공행정,조회수,61,0.4213114754098361,25.700000000000003
교육,직원수 (명)_여,65,0.37584615384615383,24.43
공공행정,국민연금보험료 납부확인서,44,0.5456818181818183,24.010000000000005
교육,학교명,41,0.5763414634146341,23.63
공공행정,대구,66,0.3506060606060606,23.14
교육,2016년 비율,64,0.36046875,23.07
공공행정, 일정ID,55,0.41927272727272724,23.06
공공행정,혼인관계증명서,66,0.34242424242424246,22.6
보건,연도,37,0.607027027027027,22.46
공공행정,단어장 아이디,41,0.5431707317073171,22.270000000000003
교육,2018년 비율,63,0.3503174603174603,22.07
공공행정,전북,63,0.34825396825396826,21.94
공공행정,제주,63,0.34555555555555556,21.77
공공행정,강원,63,0.3441269841269841,21.68
보건,해당월,38,0.5678947368421053,21.580000000000002
공공행정,충북,62,0.34580645161290324,21.44
교육,Unnamed: 0,43,0.498139534883721,21.42
보건,2020년 09월,41,0.5202439024390243,21.329999999999995
교육,학교수,39,0.5428205128205129,21.170000000000005
공공행정,서울,61,0.34491803278688526,21.040000000000003
공공행정,전남,61,0.34491803278688526,21.040000000000003
교육,객실수,61,0.34491803278688526,21.040000000000003
공공행정,충남,61,0.34491803278688526,21.040000000000003
공공행정,경기,61,0.34491803278688526,21.040000000000003
보건,2020년 12월,38,0.5221052631578947,19.84
교육,신청 사업수,52,0.37461538461538463,19.48
공공행정,인원,37,0.5224324324324325,19.330000000000005
보건,발생월,34,0.5670588235294118,19.28
공공행정,선발인원,51,0.3762745098039216,19.19
보건,합계(가구),52,0.36576923076923074,19.02
보건,지급액(백만원),52,0.36576923076923074,19.02
보건,미용업(피부),46,0.40521739130434786,18.64
공공행정,아이디(메일문서함),47,0.38914893617021273,18.29
공공행정,식용얼음,32,0.5634375,18.03
보건,2021년 04월,34,0.5244117647058824,17.83
공공행정,납부내역증명,34,0.5179411764705882,17.61
보건,2021년 02월,35,0.5,17.5
공공행정,졸업년도,30,0.5706666666666667,17.12
교육,현원,47,0.361063829787234,16.97
교육,필기접수,48,0.3510416666666667,16.85
교육,교육과정 기타,47,0.3585106382978724,16.85
공공행정,메뉴 정렬,31,0.535483870967742,16.6
보건,2021년 03월,33,0.5,16.5
보건,2020년 02월,33,0.5,16.5
보건,2020년 01월,33,0.5,16.5
보건,2020년 04월,33,0.5,16.5
보건,2020년 03월,33,0.5,16.5
보건,2020년 06월,33,0.5,16.5
보건,2020년 05월,33,0.5,16.5
보건,2020년 07월,33,0.5,16.5
보건,2020년 08월,33,0.5,16.5
교육,자료일련번호,32,0.5121875,16.39
보건,2020년2월,32,0.5103125,16.33
교육,직원수_여,28,0.5735714285714285,16.06
공공행정,행정구역 통단위 수,45,0.35555555555555557,16.0
보건,2021년 05월,32,0.5,16.0
보건,승용차,48,0.33,15.84
교육,기준연도,30,0.522,15.66
교육,실기합격,46,0.33695652173913043,15.5
보건,2021년 08월,30,0.5,15.0
공공행정,아이템(IDX),27,0.5492592592592592,14.829999999999998
공공행정,등록 품종수,40,0.3645,14.58
교육,아동현원,28,0.5192857142857144,14.540000000000003
교육,폭력예방_신변보호,28,0.5178571428571429,14.500000000000002
보건,2021년 01월,29,0.5,14.5
보건,2021년 10월,29,0.5,14.5
교육,소분류코드,39,0.36923076923076925,14.4
교육,1 - 100,37,0.38432432432432434,14.22
보건,2021년 11월,28,0.5,14.0
공공행정,부상신고자수,43,0.32372093023255816,13.92
공공행정,연별,25,0.5516000000000001,13.790000000000003
교육,201 - 300,40,0.3445,13.78
보건,2021년 12월,27,0.5,13.5
보건,2020년 9월,21,0.64,13.44
보건,2020년9월,27,0.4937037037037037,13.33
보건,2020년3월,26,0.5126923076923077,13.33
보건,7월,33,0.39484848484848484,13.03
보건,2022년 01월,26,0.5,13.0
보건,회차,23,0.5552173913043478,12.77
교육,필기응시,37,0.33756756756756756,12.49
교육,관리번호,27,0.4511111111111111,12.18
공공행정,의안번호,30,0.4046666666666667,12.14
보건,2020년8월,22,0.5454545454545454,12.0
보건,충청남도,30,0.3986666666666666,11.959999999999999
보건,2021년 06월,25,0.4592,11.48
보건,2021년 7월,19,0.6021052631578948,11.440000000000001
교육,재난안전,22,0.5154545454545455,11.340000000000002
보건,2021년 1월,19,0.5842105263157895,11.100000000000001
보건,등록번호,28,0.39035714285714285,10.93
교육, 1학년 학급수,20,0.545,10.9
공공행정,창업 및 기타 취업자,29,0.37448275862068964,10.86
공공행정,최대선택개수,20,0.5425,10.85
보건,순번(NO),21,0.5119047619047619,10.75
교육,교육통계순서,20,0.522,10.440000000000001
공공행정,직장가입자 건강장기요양보험료 납부확인서,20,0.522,10.440000000000001
보건,의료인,25,0.4152,10.38
교육,컴퓨터실습실수,19,0.5447368421052632,10.350000000000001
