antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
표시형식,컬럼명,0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
컬럼명,표시형식,0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
표시형식,"순번, 컬럼명",0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
"순번, 컬럼명",표시형식,0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
컬럼명,"순번, 표시형식",0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
"순번, 표시형식",컬럼명,0.036231884057971016,0.036231884057971016,0.036231884057971016,1.0,27.599999999999998,1.0,0.03491913463558076,inf,1.0,1.0,1.0,1.0
컬럼명,순번,0.036231884057971016,0.08695652173913043,0.036231884057971016,1.0,11.5,1.0,0.03308128544423441,inf,0.9473684210526317,0.4166666666666667,1.0,0.7083333333333334
순번,컬럼명,0.08695652173913043,0.036231884057971016,0.036231884057971016,0.4166666666666667,11.5,1.0,0.03308128544423441,1.6521739130434785,1.0,0.4166666666666667,0.3947368421052632,0.7083333333333334
"컬럼명, 표시형식",순번,0.036231884057971016,0.08695652173913043,0.036231884057971016,1.0,11.5,1.0,0.03308128544423441,inf,0.9473684210526317,0.4166666666666667,1.0,0.7083333333333334
표시형식,순번,0.036231884057971016,0.08695652173913043,0.036231884057971016,1.0,11.5,1.0,0.03308128544423441,inf,0.9473684210526317,0.4166666666666667,1.0,0.7083333333333334
순번,표시형식,0.08695652173913043,0.036231884057971016,0.036231884057971016,0.4166666666666667,11.5,1.0,0.03308128544423441,1.6521739130434785,1.0,0.4166666666666667,0.3947368421052632,0.7083333333333334
순번,"컬럼명, 표시형식",0.08695652173913043,0.036231884057971016,0.036231884057971016,0.4166666666666667,11.5,1.0,0.03308128544423441,1.6521739130434785,1.0,0.4166666666666667,0.3947368421052632,0.7083333333333334
