col_id,col_nm,table_id,cate1,cate2,num_cat_flag,pk_ratio,distinct_cnt,null_ratio,same_ratio,rec_cnt,column_cnt,categorical_cnt,numerical_cnt,avg_dom_col,avg_val_col,num_dom_eqn_col,num_dom_inter_col,num_val_eqn_col,num_val_inter_col,inner_tbl_cnt,outer_tbl_cnt,rep_ratio_tbl,common_ratio_tbl,col_table_cnt,inner_col_cnt,pk_bucket,null_bucket,col_type,rec_bucket,col_cnt_bucket,domain_spread,dom_sim_bucket,val_sim_bucket
4464,학년도,371,교육,고등교육,0,0.0,8,0.0,16146.0,129168,32,20,9,0.5008038585209004,0.016913365499623,1.0,163.0,0.0,243.0,823.0,,,,219.0,311.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),초풍부(21+),대공유(21+),높은유사(0.3-0.6),낮은값유사
4467,분반,371,교육,고등교육,0,0.0,2,0.0,64584.0,129168,32,20,9,0.7988439306358381,0.0039871048431616,23.0,656.0,0.0,1677.0,823.0,,,,563.0,1730.0,저PK(0-0.3),완전(0%),수치형,초대(10k+),초풍부(21+),대공유(21+),최고유사(0.6+),낮은값유사
4472,제출종료일,371,교육,고등교육,1,0.0,371,0.0,348.16,129168,32,20,9,0.0825504838495868,0.0059964859590661,0.0,292.0,0.0,299.0,823.0,,,,194.0,305.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),초풍부(21+),대공유(21+),낮은유사(0-0.1),낮은값유사
4484,삭제여부_1,371,교육,고등교육,1,0.0,2,0.0,25030.0,129168,32,20,9,0.7699386503067485,0.0167733237885278,87.0,20.0,0.0,96.0,823.0,,,,81.0,163.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),초풍부(21+),대공유(21+),최고유사(0.6+),낮은값유사
6768,학교급명,588,교육,유아및초·중등교육,1,0.0,16,0.0,7793.25,124692,34,3,31,0.1673387096774193,0.0112693159816756,0.0,21.0,0.0,21.0,809.0,,,,28.0,31.0,저PK(0-0.3),완전(0%),범주형,초대(10k+),초풍부(21+),대공유(21+),중유사(0.1-0.3),낮은값유사
1784,업종명,228,공공행정,일반행정,1,0.02,20,0.0,59.45,1189,5,3,2,0.2458333333333333,0.1846790019624334,0.0,10.0,0.0,12.0,69.0,,,,11.0,12.0,저PK(0-0.3),완전(0%),범주형,대(1k-10k),협소(≤5),중공유(6-20),중유사(0.1-0.3),중값유사
3203,주 매핑아이디,330,교육,고등교육,1,1.0,7,0.0,1.0,7,9,5,0,,,,,,,59.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
3204,기업아이디,330,교육,고등교육,1,0.86,6,0.0,1.17,7,9,5,0,,,,,,,59.0,,,,,,고PK(0.7-0.9),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
3205,훈련과정아이디,330,교육,고등교육,1,0.86,6,0.0,1.17,7,9,5,0,,,,,,,59.0,,,,,,고PK(0.7-0.9),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
3206,삭제여부 디폴트 N,330,교육,고등교육,1,0.14,1,0.0,7.0,7,9,5,0,1.0,0.8594470046082949,25.0,0.0,0.0,23.0,59.0,,,,59.0,124.0,저PK(0-0.3),완전(0%),범주형,소(≤100),표준(6-10),대공유(21+),최고유사(0.6+),최고값유사
3207,등록일,330,교육,고등교육,1,1.0,7,0.0,1.0,7,9,5,0,,,,,,,59.0,,,,,,최고PK(0.9+),완전(0%),범주형,소(≤100),표준(6-10),단독,낮은유사(0-0.1),낮은값유사
6782,기타행정활동수입금액,588,교육,유아및초·중등교육,0,0.7,87734,0.0,1.42,124692,34,3,31,0.000449444521583,0.0033979604533449,0.0,3283.0,0.0,3498.0,809.0,,,,737.0,3960.0,중PK(0.3-0.7),완전(0%),수치형,초대(10k+),초풍부(21+),대공유(21+),낮은유사(0-0.1),낮은값유사
6783,학교별순세계잉여금_지출금액,588,교육,유아및초·중등교육,0,1.0,124499,0.0,1.0,124692,34,3,31,0.0003850742136192,0.0013089687723809,0.0,2316.0,0.0,2572.0,809.0,,,,264.0,2643.0,최고PK(0.9+),완전(0%),수치형,초대(10k+),초풍부(21+),대공유(21+),낮은유사(0-0.1),낮은값유사
6784,학교별순세계잉여금_최초예산금액,588,교육,유아및초·중등교육,0,0.97,121465,0.0,1.03,124692,34,3,31,8.56549887205e-05,0.0005125819541693,0.0,2268.0,0.0,2526.0,809.0,,,,236.0,2596.0,최고PK(0.9+),완전(0%),수치형,초대(10k+),초풍부(21+),대공유(21+),낮은유사(0-0.1),낮은값유사
