support,itemsets_str
0.7004969418960245,domain_spread=대공유(21+)
0.5795107033639144,col_type=수치형
0.5592507645259939,"col_type=수치형, domain_spread=대공유(21+)"
0.5504587155963303,rec_bucket=중(101-1k)
0.5328746177370031,pk_bucket=저PK(0-0.3)
0.5139525993883792,cate2=고등교육
0.4994266055045872,dom_sim_bucket=낮은유사(0-0.1)
0.4573776758409786,"cate2=고등교육, domain_spread=대공유(21+)"
0.4554663608562691,"domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.42048929663608564,col_type=범주형
0.4168577981651376,"cate2=고등교육, col_type=수치형"
0.411697247706422,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+)"
0.4090214067278288,"col_type=수치형, rec_bucket=중(101-1k)"
0.40214067278287463,"col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.39965596330275227,"cate2=고등교육, rec_bucket=중(101-1k)"
0.38742354740061163,"domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.3790137614678899,"cate2=고등교육, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.3614296636085627,"cate2=고등교육, col_type=수치형, rec_bucket=중(101-1k)"
0.3587538226299694,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.32454128440366975,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.31594036697247707,"pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.31326452599388377,"dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.30351681957186544,"col_type=수치형, pk_bucket=저PK(0-0.3)"
0.30275229357798167,"cate2=고등교육, pk_bucket=저PK(0-0.3)"
0.2974006116207951,"col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.28574159021406725,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.2775229357798165,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1)"
0.27446483180428133,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.26815749235474007,"cate2=고등교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.26605504587155965,rec_bucket=소(≤100)
0.261085626911315,"domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.25649847094801226,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.25324923547400613,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.2444571865443425,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1)"
0.24407492354740062,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.24139908256880735,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+)"
0.2392966360856269,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.23834097859327216,"cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3)"
0.2368119266055046,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.23623853211009174,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.23203363914373087,"col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.2312691131498471,"cate2=고등교육, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.22935779816513763,"col_type=범주형, pk_bucket=저PK(0-0.3)"
0.22935779816513763,"col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.22782874617737003,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.22668195718654435,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), rec_bucket=중(101-1k)"
0.22477064220183487,"cate2=고등교육, col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), rec_bucket=중(101-1k)"
0.21827217125382262,"cate2=고등교육, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.21368501529051986,"col_type=범주형, dom_sim_bucket=낮은유사(0-0.1)"
0.2069954128440367,"cate2=고등교육, col_type=수치형, pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.20642201834862386,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.19839449541284404,pk_bucket=최고PK(0.9+)
0.18405963302752293,pk_bucket=중PK(0.3-0.7)
0.183868501529052,dom_sim_bucket=중유사(0.1-0.3)
0.1798547400611621,dom_sim_bucket=최고유사(0.6+)
0.17603211009174313,cate2=유아및초·중등교육
0.1699159021406728,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=저PK(0-0.3)"
0.16551987767584098,cate2=교육일반
0.1632262996941896,"col_type=범주형, rec_bucket=소(≤100)"
0.15997706422018348,"dom_sim_bucket=최고유사(0.6+), pk_bucket=저PK(0-0.3)"
0.1444954128440367,cate2=평생·직업교육
0.1444954128440367,domain_spread=단독
0.14430428134556575,"domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.143348623853211,"dom_sim_bucket=중유사(0.1-0.3), domain_spread=대공유(21+)"
0.14143730886850153,"col_type=범주형, rec_bucket=중(101-1k)"
0.1412461773700306,"col_type=범주형, domain_spread=대공유(21+)"
0.13723241590214066,"col_type=범주형, domain_spread=단독"
0.13685015290519878,dom_sim_bucket=높은유사(0.3-0.6)
0.1345565749235474,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=중PK(0.3-0.7)"
0.13226299694189603,"dom_sim_bucket=최고유사(0.6+), domain_spread=대공유(21+)"
0.13168960244648317,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=최고PK(0.9+)"
0.12519113149847094,"domain_spread=대공유(21+), rec_bucket=소(≤100)"
0.12347094801223242,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독"
0.12136850152905199,"col_type=수치형, pk_bucket=중PK(0.3-0.7)"
0.12041284403669725,"dom_sim_bucket=최고유사(0.6+), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.12003058103975535,"col_type=수치형, domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.12003058103975535,"cate2=유아및초·중등교육, col_type=범주형"
0.11716360856269113,"col_type=범주형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=단독"
0.11659021406727829,"pk_bucket=중PK(0.3-0.7), rec_bucket=중(101-1k)"
0.11391437308868502,"dom_sim_bucket=중유사(0.1-0.3), pk_bucket=저PK(0-0.3)"
0.11353211009174312,"cate2=고등교육, pk_bucket=중PK(0.3-0.7)"
0.11200305810397554,"col_type=수치형, dom_sim_bucket=중유사(0.1-0.3)"
0.10913608562691131,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.10875382262996942,"pk_bucket=최고PK(0.9+), rec_bucket=소(≤100)"
0.10856269113149847,"cate2=교육일반, col_type=범주형"
0.10856269113149847,"col_type=수치형, dom_sim_bucket=중유사(0.1-0.3), domain_spread=대공유(21+)"
0.10818042813455657,"dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
0.10722477064220183,"cate2=고등교육, domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.10607798165137615,rec_bucket=대(1k-10k)
0.10493119266055045,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=중PK(0.3-0.7), rec_bucket=중(101-1k)"
0.10435779816513761,"domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7), rec_bucket=중(101-1k)"
0.10301987767584098,"cate2=유아및초·중등교육, rec_bucket=소(≤100)"
0.10282874617737003,"col_type=수치형, rec_bucket=소(≤100)"
0.1022553516819572,"col_type=수치형, dom_sim_bucket=최고유사(0.6+)"
0.1022553516819572,"col_type=범주형, pk_bucket=최고PK(0.9+)"
0.1018730886850153,"domain_spread=대공유(21+), pk_bucket=최고PK(0.9+)"
0.1011085626911315,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), pk_bucket=중PK(0.3-0.7)"
0.10053516819571866,"dom_sim_bucket=낮은유사(0-0.1), pk_bucket=저PK(0-0.3), rec_bucket=중(101-1k)"
0.1003440366972477,"dom_sim_bucket=높은유사(0.3-0.6), domain_spread=대공유(21+)"
0.09996177370030582,"col_type=수치형, dom_sim_bucket=최고유사(0.6+), domain_spread=대공유(21+)"
0.09900611620795106,"cate2=고등교육, col_type=수치형, pk_bucket=중PK(0.3-0.7)"
0.09881498470948012,"cate2=고등교육, col_type=수치형, domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.09824159021406728,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), pk_bucket=중PK(0.3-0.7)"
0.09805045871559633,"dom_sim_bucket=중유사(0.1-0.3), rec_bucket=중(101-1k)"
0.09785932721712538,"cate2=고등교육, dom_sim_bucket=최고유사(0.6+)"
0.09766819571865444,"cate2=고등교육, pk_bucket=중PK(0.3-0.7), rec_bucket=중(101-1k)"
0.09766819571865444,"col_type=수치형, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.09747706422018348,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), domain_spread=대공유(21+), pk_bucket=중PK(0.3-0.7)"
0.09709480122324159,"cate2=고등교육, col_type=범주형"
0.09671253822629969,"cate2=고등교육, dom_sim_bucket=낮은유사(0-0.1), pk_bucket=저PK(0-0.3)"
0.09613914373088685,"col_type=수치형, pk_bucket=최고PK(0.9+)"
0.095565749235474,"dom_sim_bucket=중유사(0.1-0.3), domain_spread=대공유(21+), pk_bucket=저PK(0-0.3)"
