학교명_norm,시도_norm,학교급_norm,설립,남여공학,도로명주소,ai_flag,지정연도,유형,sw_flag,지정연도_sw,키,몸무게,혈당식전(mgdl),총콜레스테롤(mgdl),수축기,이완기,cn_학급수,cn_학생수,학교명_stem_comp,컴퓨터실습실수,컴퓨터수,운영체제,개월수,수강학생수,학교명_stem_closed,폐교연도,활용 구분,토지면적(단위 제곱미터),건물면적(단위 제곱미터),ai_sw_both
서울대학교사범대학부설고등학교,서울,고,국립,남여공학,서울특별시 성북구 월곡로 6 (종암동),0,,,1,2019.0,,,,,,,,,,,,,,,,,,,,0
가락고등학교,서울,고,공립,남여공학,서울특별시 송파구 송이로 42 (송파동.가락고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
개포고등학교,서울,고,공립,남여공학,서울특별시 강남구 개포로 402 (개포동. 개포고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경기고등학교,서울,고,공립,남자,서울특별시 강남구 영동대로 643 . 경기고등학교 (삼성동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경동고등학교,서울,고,공립,남자,서울특별시 성북구 보문로29길 49 (삼선동3가. 경동고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경복고등학교,서울,고,공립,남자,서울특별시 종로구 자하문로28가길 9 . 경복고등학교 (청운동.경복고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
경인고등학교,서울,고,공립,남여공학,서울특별시 구로구 경인로46길 31 . 경인고등학교 (고척동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
고척고등학교,서울,고,공립,남여공학,서울 구로구 중앙로15길 162 (고척동.고척고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
공항고등학교,서울,고,공립,남여공학,서울특별시 강서구 개화동로 495 (방화동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
관악고등학교,서울,고,공립,남여공학,서울특별시 영등포구 영등포로6길 26 (양평동2가),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
광남고등학교,서울,고,공립,남여공학,서울 광진구 아차산로70길 17-16 . 광남고등학교 (광장동.광남고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
광양고등학교,서울,고,공립,남여공학,서울특별시 광진구 자양로3가길 31 (자양동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
구로고등학교,서울,고,공립,남여공학,서울특별시 구로구 가마산로27길 45 . 구로고등학교 (구로동),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
구일고등학교,서울,고,공립,남여공학,서울특별시 구로구 구일로 90-51 (구로동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
압구정고등학교,서울,고,공립,남여공학,서울특별시 강남구 압구정로39길 20 . 압구정고등학교 (압구정동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
금천고등학교,서울,고,공립,남여공학,서울특별시 금천구 시흥대로38길 26 (시흥동.금천고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
당곡고등학교,서울,고,공립,남여공학,서울특별시 관악구 봉천로21길 108 . 당곡고등학교 (봉천동),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
대영고등학교,서울,고,공립,남여공학,서울특별시 영등포구 도림로86길 16 (신길동. 대영고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
독산고등학교,서울,고,공립,남여공학,서울특별시 금천구 문성로 64 . 독산고등학교 (독산동),1,2023.0,교육활동 모델교,1,2020.0,,,,,,,,,,,,,,,,,,,,1
동작고등학교,서울,고,공립,남여공학,서울특별시 동작구 솔밭로 51 (사당동.동작고등학교(복합정보센타)),0,,,0,,,,,,,,,,,,,,,,,,,,,0
둔촌고등학교,서울,고,공립,남여공학,서울특별시 강동구 명일로 140 (둔촌동.둔촌고등학교),1,2023.0,교육활동 모델교,1,2015.0,,,,,,,,,,,,,,,,,,,,1
면목고등학교,서울,고,공립,남자,서울특별시 중랑구 용마산로72길 36-14 (면목동.면목고등학교),1,2023.0,교육활동 모델교,1,2017.0,172.4987341772152,68.25569620253164,88.5,172.5,111.48148148148148,63.18518518518518,,,,,,,,,,,,,,1
반포고등학교,서울,고,공립,남여공학,서울특별시 서초구 고무래로 71 (반포동.반포고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
삼성고등학교,서울,고,공립,남여공학,서울특별시 관악구 신림로 41 (신림동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
상계고등학교,서울,고,공립,남자,서울특별시 노원구 노해로 432 (상계동. 상계고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
서울고등학교,서울,고,공립,남자,서울특별시 서초구 효령로 197 (서초동.서울고등학교),1,2023.0,교육활동 모델교,0,,,,,,,,,,,,,,,,,,,,,0
서초고등학교,서울,고,공립,남여공학,서울특별시 서초구 반포대로27길 29 (서초동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
석관고등학교,서울,고,공립,남여공학,서울특별시 성북구 한천로70길 30 . 석관고등학교 (석관동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
성동고등학교,서울,고,공립,남자,서울특별시 중구 퇴계로90길 17 (신당동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
수락고등학교,서울,고,공립,남여공학,서울특별시 노원구 동일로245길 143 (상계동.수락고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
신림고등학교,서울,고,공립,남여공학,서울특별시 관악구 문성로 119 . 신림고등학교 (신림동),0,,,1,2017.0,,,,,,,,,,,,,,,,,,,,0
신목고등학교,서울,고,공립,남여공학,서울특별시 양천구 안양천로 739 (신정동.신목고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
양재고등학교,서울,고,공립,남여공학,서울특별시 서초구 남부순환로346길 9 (서초동.양재고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
언남고등학교,서울,고,공립,남여공학,서울 서초구 동산로13길 35 (양재동.언남고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
여의도고등학교,서울,고,공립,남자,서울특별시 영등포구 국제금융로7길 37 . 여의도고등학교 (여의도동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
영등포고등학교,서울,고,공립,남자,서울특별시 동작구 등용로8길 5 (대방동.영등포고등학교),0,,,0,,172.41647058823528,68.22588235294117,88.4,170.4,119.28,70.0,,,,,,,,,,,,,,0
영신고등학교,서울,고,공립,남여공학,서울특별시 영등포구 대방천로14길 18 (신길동. 영신고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
오금고등학교,서울,고,공립,남여공학,서울특별시 송파구 중대로 247 (오금동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
노원고등학교,서울,고,공립,남여공학,서울특별시 노원구 노원로 586 (상계동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
용산고등학교,서울,고,공립,남자,서울특별시 용산구 두텁바위로 60 (용산동2가.용산고등학교),1,2023.0,교육활동 모델교,0,,173.43235294117645,70.73627450980392,91.0,168.33333333333334,130.27272727272728,66.84848484848484,,,,,,,,,,,,,,0
인헌고등학교,서울,고,공립,남여공학,서울특별시 관악구 인헌9길 74 (봉천동.인헌고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
자양고등학교,서울,고,공립,남여공학,서울특별시 광진구 뚝섬로37길 28 (자양동.자양고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
잠신고등학교,서울,고,공립,남여공학,서울특별시 송파구 잠실로 24 . 잠신고등학교 (잠실동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
잠실고등학교,서울,고,공립,남자,서울특별시 송파구 올림픽로33길 71 . 잠실고등학교 (신천동),0,,,0,,,,,,,,,,,,,,,,,,,,,0
중경고등학교,서울,고,공립,남여공학,서울특별시 용산구 이촌로84길 34 (이촌동),0,,,1,2020.0,,,,,,,,,,,,,,,,,,,,0
중화고등학교,서울,고,공립,남여공학,서울특별시 중랑구 봉화산로27길 62 (중화동. 중화고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
창동고등학교,서울,고,공립,남여공학,서울특별시 도봉구 노해로62길 7 (창동. 창동고등학교),0,,,0,,166.68916666666667,61.038333333333334,91.2,156.8,113.625,64.25,,,,,,,,,,,,,,0
청담고등학교,서울,고,공립,남여공학,서울특별시 강남구 압구정로 419 . 청담고등학교 (압구정동),0,,,0,,167.3398009950249,63.09303482587065,84.5,176.375,111.36842105263158,66.19298245614036,,,,,,,,,,,,,,0
청량고등학교,서울,고,공립,남여공학,서울특별시 동대문구 왕산로 303 (청량리동. 청량고등학교),0,,,0,,,,,,,,,,,,,,,,,,,,,0
